City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,Hasaki,35.7333,140.8333,13.22,63,100,10.64,JP,1699669406
325,Padang,-0.9492,100.3543,27.03,88,89,1.19,ID,1699669254
326,Ambovombe,-25.1667,46.0833,18.64,76,26,3.77,MG,1699669406
327,Dunkwa,5.9656,-1.78,23.06,99,93,1.21,GH,1699669406
328,Lázaro Cárdenas,17.9583,-102.2,26.6,82,4,0.59,MX,1699669406
329,Acaraú,-2.8856,-40.12,26.36,79,5,8.24,BR,1699669406
330,I-n-Salah,27.1935,2.4607,21.31,41,2,5.7,DZ,1699669407
331,Labuan,5.2767,115.2417,28.2,83,40,1.03,MY,1699669407
332,Arrondissement de Saint-Jean-de-Maurienne,45.1667,6.5833,-6.03,97,98,2.8,FR,1699669407
333,Xining,36.6167,101.7667,1.13,44,0,1.12,CN,1699669407
334,Martil,35.6166,-5.2752,18.98,77,0,5.14,MA,1699669407
335,Mata-Utu,-13.2816,-176.1745,28.55,77,100,4.79,WF,1699669407
336,Cambridge,43.3601,-80.3127,6.63,73,100,2.57,CA,1699669383
337,Senanga,-16.1167,23.2667,25.28,50,100,1.66,ZM,1699669407
338,Pathein,16.7833,94.7333,27.18,81,59,2.19,MM,1699669407
339,Tadine,-21.55,167.8833,23.57,69,77,9.14,NC,1699669408
340,Kill Devil Hills,36.0307,-75.676,14.43,73,100,6.17,US,1699669408
341,Sola,-13.8833,167.55,26.2,84,99,11.48,VU,1699669408
342,Siem Reap,13.5,104.0,28.21,78,99,2.16,KH,1699669408
343,Cabo San Lucas,22.8909,-109.9124,27.64,71,0,1.54,MX,1699669065
344,Železniki,46.2333,14.1667,6.73,93,100,2.49,SI,1699669408
345,Wakkanai,45.4094,141.6739,2.27,90,75,12.86,JP,1699669408
346,Oranjemund,-28.55,16.4333,16.28,88,99,4.04,NA,1699669408
347,Belmonte,-15.8631,-38.8828,24.8,85,3,4.74,BR,1699669409
348,Maués,-3.3836,-57.7186,28.76,57,82,1.34,BR,1699669409
349,Ilhabela,-23.7781,-45.3581,22.38,94,66,2.45,BR,1699669409
350,Paita,-5.0892,-81.1144,20.02,80,33,6.36,PE,1699669409
351,Prado,-17.3411,-39.2208,24.66,86,15,4.87,BR,1699669409
352,Tosontsengel,48.7567,98.2839,-20.31,99,100,0.14,MN,1699669409
